cut,dg_pp,welfare_pct
0,0,0
0.024999999999999998,0.049776100060307249,2.2755092916895592
0.049999999999999996,0.10486685731938249,4.8591616955911299
0.074999999999999997,0.16594521749396224,7.805824553077767
0.099999999999999992,0.23378318714732479,11.182934921328291
0.12499999999999999,0.30926855140558823,15.074103483969115
0.14999999999999999,0.39342479564727428,19.583977018842312
0.17499999999999999,0.48743492388059939,24.844882998410831
0.19999999999999998,0.5926700344022453,31.026035067139368
0.22499999999999998,0.71072372638917336,38.346477281050625
0.24999999999999997,0.8434536826351906,47.093581148381823
0.27499999999999997,0.99303212126033746,57.649944477259773
0.29999999999999999,1.1620072561371282,70.533262381620048
